feature,importance
monetary,0.2264396546756185
engagement_score,0.19565535589283428
avg_days_between_purchases,0.09809683201266244
avg_order_value,0.09345741003950164
monetary_frequency_ratio,0.0917006332298073
days_since_first_purchase,0.05621997077035055
rfm_score,0.045274795838632025
recency_frequency_ratio,0.0438990738705238
lifespan_days,0.04297403485664601
purchase_frequency_rate,0.0390483920701794
recency,0.0348223359345467
f_score,0.032411510808697565
frequency,0.0
m_score,0.0
r_score,0.0
is_one_time_buyer,0.0
is_recent_buyer,0.0
is_frequent_buyer,0.0
is_high_value,0.0
